# aip_tip_1481034343.out
#
# Format: <prover> <axiom type> <tip file> <status> <computation time in seconds>
#
# The status column indicates whether a proof was found:
# Success indicates a proof was found.
# Failure indicates that the problem (with induction axioms) does not admit a proof.
# Error indicates abnormal termination.
#
# The TIP problems which are not listed below either terminated abnormally or
# reached the timeout (300 s).

eprover sequential ./../benchmarks/benchmarks/tip2015/sort_MSortBU2IsSort.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_Interleave.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/regexp_PlusAssociative.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_NStoogeSort2IsSort.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/regexp_PlusCommutative.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/nat_le_antisym.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/nat_max_comm.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_MSortTDCount.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_NStoogeSort2Count.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_BubSortIsSort.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_BubSortSorts.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_append_inj_2.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_NStoogeSort2Sorts.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/bin_plus_comm.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/mccarthy91_M2.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/regexp_SeqAssociative.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/propositional_AndIdempotent.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/nat_boring_max_min_abs.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/nat_boring_gt_irreflexive.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_StoogeSortPermutes.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_StoogeSortSorts.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_NStoogeSort2Permutes.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/grammars/simp_expr_unambig4.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/prod/prop_41.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/prod/prop_39.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/prod/prop_31.smt2 failure 2.59
eprover sequential ./../benchmarks/benchmarks/prod/prop_37.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/prod/prop_40.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/prod/prop_36.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/prod/prop_43.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/prod/prop_45.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/prod/prop_38.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/prod/prop_47.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_13.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_44.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_62.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_79.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_35.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_21.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_39.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_04.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_28.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_27.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_71.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_70.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_06.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_37.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_11.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_29.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_46.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_40.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_26.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_07.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_33.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_32.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_30.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_10.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_36.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_34.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_45.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_42.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_05.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_17.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_18.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_16.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_23.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/isaplanner/prop_25.smt2 error -1
